,S_p,nu_p,alpha_thin,alpha_thick,RA_gleam,Dec_gleam
382,0.8327743,448.0,-1.5645832,1.3578086,78.6671,5.8235455
383,0.702537,162.0,-1.137564,1.4321245,79.78247,10.84084
384,0.92196804,266.0,-1.1670805,0.3156836,79.89934,-34.587597
385,0.7491302,403.0,-0.8340031,0.6380296,80.12407,2.0723703
386,0.9930163,150.0,-0.5044332,2.6727965,80.191536,-42.828323
387,0.3878468,239.0,-1.8441354,0.34722152,80.21151,-35.96952
388,1.2158773,128.0,-0.41409838,0.7622625,80.572914,1.2235153
389,0.49118936,296.0,-1.4200388,1.235821,80.71578,-29.608206
390,1.5046529,120.0,-0.33708227,1.262986,80.89735,-51.641758
391,0.37077656,250.0,-1.5622689,2.2467008,80.90112,-36.412045
392,0.8028152,415.0,-0.56053364,0.101473205,80.947235,11.778328
393,0.26607704,404.0,-0.7848725,1.3013221,81.12163,-17.74921
394,0.4072659,482.0,-0.41413602,0.6141388,81.29522,-4.7387185
395,0.31409165,278.0,-0.75249696,0.92270124,81.47145,-44.370594
396,0.39669716,249.0,-1.397114,0.30447644,81.91773,-26.19787
398,1.0498581,345.0,-0.68534756,1.3311664,82.10353,-33.18459
399,0.2215035,256.0,-0.64669526,1.2133282,82.10971,-36.464592
400,0.22564304,227.0,-0.33414418,2.1104782,82.32417,-26.287544
401,0.5447345,503.0,-1.9385505,1.3817186,82.50282,-20.65728
402,0.4750255,351.0,-0.6702017,1.1632817,82.547226,-30.656109
404,0.27911305,299.0,-0.87112933,1.0123136,83.64894,-15.457482
405,0.5241942,210.0,-0.546856,1.6987913,83.96135,-77.81574
406,0.50313115,348.0,-1.3833975,0.3407345,83.96255,-1.4100624
407,1.5396199,235.0,-1.2786775,0.68641025,84.50477,-37.797268
408,0.33111602,206.0,-0.6503896,2.083117,84.78801,-29.859913
409,0.5570614,157.0,-0.553945,1.3051306,84.90581,-28.155886
410,1.0998722,131.0,-0.49199742,0.8579245,85.66396,-4.895643
411,0.2193948,263.0,-1.1229239,0.5855487,86.82725,-23.688429
412,3.142174,156.0,-1.2460912,1.2196137,86.86565,-7.109423
413,2.7245743,108.0,-0.6535952,0.9022717,87.00759,-6.2102513
414,0.8397077,130.0,-1.0322293,1.4932791,87.12337,-20.537863
415,0.538722,197.0,-1.1819749,0.97011596,87.38521,-75.297585
416,0.2558064,240.0,-0.5195461,2.7359445,87.84489,-75.98509
417,0.37295488,286.0,-0.86852866,1.5919896,87.882904,-15.47587
421,0.23889214,303.0,-0.25046536,2.9870856,88.22111,-22.419363
422,1.7689623,168.0,-0.75050443,0.48076558,88.53077,-59.742382
423,0.24516343,331.0,-1.4153068,0.6983999,89.665665,-13.978424
424,0.87811816,138.0,-0.5961457,0.74550587,90.278465,-14.67237
425,4.4668818,195.0,-0.8088824,0.9467758,90.78451,-79.57956
426,0.3981615,219.0,-0.33695188,1.4672502,90.809586,0.84722066
427,0.33993423,343.0,-0.9089727,0.6775454,91.10627,-42.425476
429,0.7194373,161.0,-1.0758513,0.1908236,91.53185,-34.793118
431,0.8291364,136.0,-0.7612196,0.30711186,92.07068,-24.074972
432,0.8419553,375.0,-1.4804765,0.6944067,93.85738,-13.93847
433,0.3041976,315.0,-0.63231385,1.9680825,93.884094,-19.68602
434,0.8727465,114.0,-1.471745,1.2136574,93.90984,-53.330627
436,0.26599747,485.0,-0.3673688,0.59276855,95.345825,-27.777903
437,0.1950144,200.0,-0.6226896,1.502901,95.44824,-11.112459
438,0.32360384,213.0,-1.4387212,0.58348054,95.621185,-44.80498
439,1.676142,101.0,-0.5278011,2.9970508,95.888794,-50.115208
440,0.25869858,357.0,-0.64925236,1.177862,97.362595,-33.919857
441,1.9623744,246.0,-0.875605,0.5043881,98.29237,-18.046843
442,0.312266,213.0,-1.3125339,1.4414383,98.774055,-36.068356
443,0.27117842,332.0,-0.98736715,0.6589286,99.513145,-61.71914
444,1.2336619,393.0,-0.2546563,0.14149581,99.77219,-26.523472
445,0.7172334,333.0,-1.3107347,0.24453202,99.94089,-41.224754
